instant_book,rating_checkin,person_capacity,rating_value,is_superhost,amenities,rev_count,cancel_policy,price,nightly_price,rating_cleanliness,host_id,response_time,bed_type,accuracy_rating,rating_communication,satisfaction_guest,hosting_id,url,rating_location,response_rate,room_type
True,10,4,10,False,"[1, 4, 8, 9, 21, 31, 33, 38, 40, 41, 44, 45]",10,3,54.12693888139795,R$169,10,106930155,1500.0,Real Bed,10,10,98,16556561,https://www.airbnb.com.br/rooms/16556561,10,1.0,Entire home/apt
True,,2,,False,"[1, 4, 8, 9, 21, 31, 33, 34, 38, 40, 42, 44, 45, 46, 47, 50]",0,3,44.838884280448006,R$140,,119180324,,Real Bed,,,,17558854,https://www.airbnb.com.br/rooms/17558854,,,Entire home/apt
False,10,2,9,False,"[1, 3, 4, 8, 9, 21, 33, 39, 40, 41]",5,4,32.02777448603429,R$100,10,114944730,2588.0,Real Bed,10,10,100,17113855,https://www.airbnb.com.br/rooms/17113855,10,1.0,Entire home/apt
True,,2,,False,"[1, 4, 8, 11, 21, 33, 39, 40, 44, 46, 47, 49, 50]",0,3,64.05554897206858,R$200,,113813340,,Real Bed,,,,16992636,https://www.airbnb.com.br/rooms/16992636,,,Entire home/apt
True,10,9,10,False,"[1, 3, 4, 8, 9, 12, 16, 17, 18, 19, 28, 31, 33, 37, 40, 42, 44, 45, 46, 47]",3,5,18.255831457039545,R$57,10,90457049,1706.0,Real Bed,10,10,100,14588987,https://www.airbnb.com.br/rooms/14588987,10,0.8999999761581421,Private room
True,9,4,9,False,"[1, 2, 3, 4, 8, 9, 11, 16, 28, 33, 40]",2,4,80.06943621508572,R$250,8,15613537,,Real Bed,9,10,90,3068073,https://www.airbnb.com.br/rooms/3068073,8,,Entire home/apt
False,,1,,False,"[1, 4, 8, 11, 12, 31, 32, 33, 40, 41, 44, 46, 47, 50]",0,3,10.569165580391315,R$33,,96345895,,Real Bed,,,,15179044,https://www.airbnb.com.br/rooms/15179044,,,Shared room
False,10,8,9,False,"[3, 4, 8, 11, 12, 28, 31, 33, 34, 40, 46, 47]",41,4,32.02777448603429,R$100,9,9015262,153.0,Real Bed,9,10,90,3380166,https://www.airbnb.com.br/rooms/3380166,10,1.0,Entire home/apt
False,10,4,10,False,"[1, 4, 8, 9, 31, 33, 40, 44, 46, 47, 64]",1,4,25.942497333687776,R$81,10,116698091,19368.5,Real Bed,10,10,100,17298713,https://www.airbnb.com.br/rooms/17298713,10,0.875,Entire home/apt
False,10,1,10,False,"[3, 4, 8, 21]",4,3,11.209721070112002,R$35,10,50213116,528.0,Real Bed,10,10,100,10187318,https://www.airbnb.com.br/rooms/10187318,10,1.0,Private room
False,,2,,False,"[1, 4, 8, 31, 40, 41, 45, 46, 47, 50]",0,3,20.81805341592229,R$65,,38249476,316.0,Real Bed,,,,15754907,https://www.airbnb.com.br/rooms/15754907,,1.0,Private room
True,,5,,False,"[1, 2, 3, 4, 5, 8, 9, 12, 15, 16, 28, 30, 33, 34, 37, 38, 40, 41, 42, 44, 45, 46, 47, 57]",0,3,25.62221958882743,R$80,,82476544,3813.0,Real Bed,,,,17649364,https://www.airbnb.com.br/rooms/17649364,,1.0,Entire home/apt
True,,1,,False,"[1, 4, 8, 21, 33, 37, 39, 40, 42, 44, 45, 46, 49, 50]",0,3,18.89638694676023,R$59,,101561276,10933.0,Real Bed,,,,17602464,https://www.airbnb.com.br/rooms/17602464,,1.0,Private room
