instant_book,rating_checkin,person_capacity,rating_value,is_superhost,amenities,rev_count,cancel_policy,price,nightly_price,rating_cleanliness,host_id,response_time,bed_type,accuracy_rating,rating_communication,satisfaction_guest,hosting_id,url,rating_location,response_rate,room_type
False,10,3,10,False,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 15, 21, 25, 28, 30, 31, 33, 34, 35, 38, 39, 40, 41, 43, 44, 45, 46, 47, 51, 55, 57]",22,5,57.68879459263699,R$180,10,83328340,219.0,Real Bed,10,10,100,15583805,https://www.airbnb.com.br/rooms/15583805,10,1.0,Entire home/apt
True,10,4,10,True,"[1, 3, 4, 6, 8, 9, 11, 12, 14, 21, 28, 33, 39, 40, 42, 43, 44, 46, 49, 50]",95,3,24.99847765680936,R$78,10,15519625,143.0,Real Bed,10,10,98,3048322,https://www.airbnb.com.br/rooms/3048322,10,1.0,Private room
True,10,1,10,False,"[1, 3, 4, 8, 14, 21, 28, 33, 40, 41, 42, 44, 45, 46, 47, 49, 50]",2,5,14.422198648159247,R$45,10,92687767,3262.0,Real Bed,10,10,100,16398605,https://www.airbnb.com.br/rooms/16398605,10,1.0,Private room
False,,2,,False,"[3, 4, 8, 11, 12, 21, 33, 40, 44, 45, 46, 47, 49, 50, 51, 55]",0,3,10.0,R$31,,41868811,858.0,Real Bed,,,,18021011,https://www.airbnb.com.br/rooms/18021011,,1.0,Private room
False,10,2,9,False,"[1, 2, 3, 4, 8, 30, 33, 40, 42, 44, 45, 46, 47, 49, 50]",3,5,28.844397296318494,R$90,9,12808294,8068.5,Real Bed,10,10,93,16518722,https://www.airbnb.com.br/rooms/16518722,10,1.0,Entire home/apt
True,,4,,False,"[1, 3, 4, 5, 6, 8, 9, 31, 32, 33, 40]",0,4,20.191078107422946,R$63,,120734058,685.5,Real Bed,,,,17713501,https://www.airbnb.com.br/rooms/17713501,,1.0,Entire home/apt
True,10,2,9,False,"[1, 3, 4, 5, 8, 21, 31, 33, 34, 35, 36, 39, 40, 41, 43, 44, 45, 46, 47, 51, 55]",40,5,28.844397296318494,R$90,9,43135969,364.0,Real Bed,10,10,93,9906099,https://www.airbnb.com.br/rooms/9906099,10,1.0,Entire home/apt
True,10,2,10,False,"[4, 8, 11, 12, 28, 30, 31, 32, 33, 37, 40, 42]",1,3,14.422198648159247,R$45,10,14227510,2257.0,Real Bed,10,10,100,17750489,https://www.airbnb.com.br/rooms/17750489,10,1.0,Private room
False,10,2,10,False,[11],1,3,19.229598197545663,R$60,10,117802239,928.0,Real Bed,10,10,60,17764113,https://www.airbnb.com.br/rooms/17764113,8,1.0,Entire home/apt
True,10,2,10,True,"[1, 3, 4, 5, 8, 12, 14, 17, 19, 21, 28, 33, 35, 37, 39, 40, 41, 44, 45, 46, 49, 50]",79,4,17.947624984375953,R$56,10,674228,0.0,Real Bed,10,10,97,137999,https://www.airbnb.com.br/rooms/137999,10,1.0,Private room
True,10,2,10,True,"[1, 3, 4, 5, 8, 9, 28, 30, 31, 35, 36, 40, 41, 42, 43, 44, 45, 46, 47, 50, 51, 53]",20,5,22.114037927177513,R$69,10,98442991,676.0,Real Bed,10,10,99,15392953,https://www.airbnb.com.br/rooms/15392953,9,1.0,Entire home/apt
True,10,2,10,False,"[1, 3, 4, 5, 6, 8, 9, 11, 17, 31, 33, 40, 41]",11,3,24.036997746932077,R$75,10,30554804,264.5,Real Bed,10,10,100,15096581,https://www.airbnb.com.br/rooms/15096581,10,1.0,Private room
True,10,3,10,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 15, 21, 25, 28, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 43, 44, 45, 46, 47, 57]",31,4,62.496194142023406,R$195,10,84790557,688.0,Real Bed,10,10,99,14093251,https://www.airbnb.com.br/rooms/14093251,10,1.0,Entire home/apt
True,10,3,10,False,"[1, 3, 4, 8, 21, 31, 33, 39, 40, 41, 50]",4,3,22.114037927177513,R$69,10,117638424,1775.0,Real Bed,10,10,100,17441149,https://www.airbnb.com.br/rooms/17441149,9,1.0,Entire home/apt
False,10,3,10,False,"[2, 4, 5, 7, 8, 9, 14, 21, 28, 31, 32, 39, 40, 43, 44, 45, 50]",34,5,31.72883702595034,R$99,9,52015663,814.0,Real Bed,10,10,89,11341506,https://www.airbnb.com.br/rooms/11341506,9,1.0,Entire home/apt
True,10,2,10,False,"[4, 6, 8, 12, 14, 21, 28, 31, 40, 41, 42, 45, 50, 51, 55]",8,3,14.101705344866819,R$44,10,71206835,1586.5,Real Bed,10,10,100,16415318,https://www.airbnb.com.br/rooms/16415318,10,1.0,Private room
True,10,3,10,False,"[8, 33, 35, 39, 40, 41, 42, 44, 45, 46, 47, 49, 50]",2,5,22.43453123046994,R$70,10,116816469,173.0,Real Bed,10,10,100,17310343,https://www.airbnb.com.br/rooms/17310343,10,1.0,Entire home/apt
True,10,1,10,True,"[1, 4, 5, 7, 8, 17, 18, 28, 32, 33, 34, 37, 39, 40, 42, 44, 46, 49, 50]",23,3,25.639464263394217,R$80,10,1170265,268.5,Pull-out Sofa,10,10,99,11069109,https://www.airbnb.com.br/rooms/11069109,10,1.0,Private room
instant_book,rating_checkin,person_capacity,rating_value,is_superhost,amenities,rev_count,cancel_policy,price,nightly_price,rating_cleanliness,host_id,response_time,bed_type,accuracy_rating,rating_communication,satisfaction_guest,hosting_id,url,rating_location,response_rate,room_type
True,10,2,10,False,"[1, 4, 5, 7, 8, 9, 11, 17, 18, 19, 27, 31, 32, 33, 40, 41, 42, 44, 45, 46, 47, 50]",20,4,19.229598197545663,R$60,10,4895567,559.0,Real Bed,10,10,96,15252919,https://www.airbnb.com.br/rooms/15252919,9,1.0,Private room
False,10,2,10,False,"[1, 4, 5, 8, 33, 34, 40, 41, 49, 50]",1,3,31.72883702595034,R$99,10,27768745,2035.0,Real Bed,10,10,100,5379664,https://www.airbnb.com.br/rooms/5379664,10,1.0,Entire home/apt
False,10,2,10,False,"[1, 2, 3, 4, 5, 7, 8, 9, 14, 15, 21, 28, 33, 34, 35, 36, 40, 41, 44, 45, 46, 47, 49, 50, 51, 53]",4,5,72.11099324079623,R$225,10,58644406,4800.0,Real Bed,10,10,100,11243623,https://www.airbnb.com.br/rooms/11243623,10,1.0,Entire home/apt
False,10,4,9,False,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 15, 21, 27, 28, 30, 31, 33, 35, 36, 39, 40, 41, 43, 44, 45, 46, 47]",32,4,72.11099324079623,R$225,10,18010075,26867.5,Real Bed,10,10,96,5173419,https://www.airbnb.com.br/rooms/5173419,10,1.0,Entire home/apt
True,10,12,10,False,"[1, 2, 3, 4, 5, 8, 16, 27, 32, 37, 40, 44, 46, 47, 49, 50]",14,4,12.819732131697108,R$40,9,16114162,31.0,Real Bed,10,10,93,14903043,https://www.airbnb.com.br/rooms/14903043,10,1.0,Shared room
False,10,3,9,False,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 15, 21, 28, 31, 33, 39, 40, 44, 46, 47, 50]",4,5,38.138703091798895,R$119,10,96273868,1841.0,Real Bed,10,10,95,15325484,https://www.airbnb.com.br/rooms/15325484,10,0.8999999761581421,Entire home/apt
True,,2,,False,"[1, 3, 4, 5, 8, 9, 33, 34, 40, 42, 44, 45, 46, 49, 50]",0,3,38.459196395091325,R$120,,59471387,5261.5,Real Bed,,,,17539681,https://www.airbnb.com.br/rooms/17539681,,1.0,Entire home/apt
