instant_book,rating_checkin,person_capacity,rating_value,is_superhost,amenities,rev_count,cancel_policy,price,nightly_price,rating_cleanliness,host_id,response_time,bed_type,accuracy_rating,rating_communication,satisfaction_guest,hosting_id,url,rating_location,response_rate,room_type
True,10,3,10,False,"[1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 14, 15, 21, 28, 33, 34, 37, 39, 40, 43, 44, 46, 47, 49, 50]",14,5,38.779689698383756,R$121,10,32542784,3683.0,Real Bed,10,10,97,12167996,https://www.airbnb.com.br/rooms/12167996,9,1.0,Entire home/apt
False,10,2,10,False,"[1, 4, 8, 21, 33, 40, 44, 45, 47, 49, 50]",1,3,32.04933032924277,R$100,10,11198426,3326.0,Real Bed,10,10,100,16659501,https://www.airbnb.com.br/rooms/16659501,10,1.0,Private room
True,10,1,10,False,"[1, 3, 4, 8, 11, 21, 39, 40, 41]",30,3,15.38367855803653,R$48,10,35911466,71.5,Pull-out Sofa,10,10,93,6853301,https://www.airbnb.com.br/rooms/6853301,9,1.0,Private room
True,10,2,10,True,"[1, 3, 4, 8, 12, 14, 21, 28, 31, 32, 33, 34, 37, 39, 41, 42, 44, 45, 47]",74,5,24.036997746932077,R$75,9,1207413,479.0,Real Bed,9,10,95,230940,https://www.airbnb.com.br/rooms/230940,10,1.0,Private room
False,10,2,10,True,"[1, 4, 8, 21, 39, 40, 41, 42, 43, 44, 45, 46, 47]",59,5,56.727314682759705,R$177,10,7135851,472.0,Real Bed,10,10,98,14745506,https://www.airbnb.com.br/rooms/14745506,10,1.0,Entire home/apt
False,10,2,9,False,"[1, 3, 4, 5, 8, 40, 41, 43, 44, 45, 46, 47]",38,5,36.85672987862919,R$115,10,19460953,7054.0,Real Bed,10,10,95,12448197,https://www.airbnb.com.br/rooms/12448197,10,1.0,Entire home/apt
True,10,1,10,False,"[1, 3, 4, 8, 11, 15, 21, 33, 39, 40, 44, 45, 46, 47, 49, 50]",42,3,19.229598197545663,R$60,10,60219483,258.5,Real Bed,10,10,99,11454902,https://www.airbnb.com.br/rooms/11454902,10,0.9440000057220459,Private room
True,9,2,10,False,"[1, 4, 8, 14, 21, 28, 33, 34, 40, 41, 43, 44, 45, 46, 47]",11,3,32.04933032924277,R$100,9,35329850,469.5,Pull-out Sofa,10,10,93,10155531,https://www.airbnb.com.br/rooms/10155531,9,1.0,Entire home/apt
True,10,2,10,True,"[1, 3, 4, 8, 11, 12, 14, 21, 28, 31, 33, 34, 39, 40, 41, 44, 46, 47, 50]",29,4,28.844397296318494,R$90,10,36988692,346.0,Real Bed,10,10,98,15420412,https://www.airbnb.com.br/rooms/15420412,10,1.0,Entire home/apt
True,10,1,10,True,"[2, 4, 8, 14, 21, 28, 33, 39, 40, 42, 43, 45, 46]",63,3,20.0,R$62,10,9949968,867.0,Real Bed,10,10,97,2025095,https://www.airbnb.com.br/rooms/2025095,9,1.0,Private room
False,10,3,10,True,"[1, 2, 3, 4, 6, 7, 8, 9, 12, 14, 15, 16, 17, 18, 19, 21, 28, 30, 31, 33, 34, 37, 39, 40, 41, 43, 44, 45, 46, 47, 51, 55]",58,4,47.75350219057173,R$149,10,256576,611.0,Real Bed,10,10,100,54614,https://www.airbnb.com.br/rooms/54614,10,1.0,Entire home/apt
True,10,2,9,False,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 15, 21, 28, 31, 35, 36, 38, 39, 40, 41, 43, 44, 45, 46, 47, 51, 55]",48,5,41.343636124723176,R$129,9,37834217,66.0,Real Bed,10,10,95,10380025,https://www.airbnb.com.br/rooms/10380025,10,1.0,Entire home/apt
True,10,2,10,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 15, 21, 25, 28, 30, 33, 34, 38, 39, 40, 43, 44, 45, 46, 47]",36,4,51.278928526788434,R$160,10,51612192,637.0,Real Bed,10,10,98,10057232,https://www.airbnb.com.br/rooms/10057232,10,1.0,Entire home/apt
False,10,3,10,False,"[1, 2, 4, 5, 8, 14, 21, 28, 30, 33, 34, 40, 41, 43, 44, 45, 46, 47, 50]",180,5,47.4330088872793,R$148,10,2544715,570.5,Real Bed,10,10,99,2428558,https://www.airbnb.com.br/rooms/2428558,10,1.0,Entire home/apt
False,10,1,9,False,"[3, 4, 8, 14, 21, 28, 40, 41, 43, 44, 45, 46, 47, 49, 50]",38,5,14.742691951451674,R$46,10,10726132,517.0,Real Bed,10,10,94,7775157,https://www.airbnb.com.br/rooms/7775157,10,1.0,Private room
True,10,2,10,False,"[1, 3, 4, 8, 11, 21, 28, 30, 33, 39, 40, 42, 43, 44, 45, 46, 47, 49, 50]",35,5,19.229598197545663,R$60,10,86189433,720.5,Real Bed,10,10,99,16442666,https://www.airbnb.com.br/rooms/16442666,10,1.0,Private room
True,10,2,10,True,"[1, 3, 4, 7, 8, 14, 15, 21, 28, 33, 34, 35, 36, 39, 40, 44, 46, 47, 49, 50, 51, 55]",43,4,28.844397296318494,R$90,10,75290471,406.0,Real Bed,10,10,99,15634527,https://www.airbnb.com.br/rooms/15634527,10,1.0,Entire home/apt
True,10,1,10,False,"[1, 4, 8, 11, 21, 33, 40, 41]",121,5,13.140225434989535,R$41,9,5519614,156.0,Real Bed,9,10,94,6479767,https://www.airbnb.com.br/rooms/6479767,10,1.0,Private room
instant_book,rating_checkin,person_capacity,rating_value,is_superhost,amenities,rev_count,cancel_policy,price,nightly_price,rating_cleanliness,host_id,response_time,bed_type,accuracy_rating,rating_communication,satisfaction_guest,hosting_id,url,rating_location,response_rate,room_type
False,10,3,10,True,"[1, 2, 3, 4, 6, 7, 8, 9, 12, 14, 15, 16, 17, 18, 19, 21, 28, 30, 31, 33, 34, 37, 39, 40, 41, 43, 44, 45, 46, 47, 51, 55]",58,4,47.75350219057173,R$149,10,256576,611.0,Real Bed,10,10,100,54614,https://www.airbnb.com.br/rooms/54614,10,1.0,Entire home/apt
True,,2,,False,"[3, 4, 8, 9, 16, 21, 30, 33, 35, 36, 39, 40, 41, 42, 44, 45, 46, 47, 49, 50, 51, 55]",0,5,25.959957566686644,R$81,,115371950,0.0,Real Bed,,,,17155478,https://www.airbnb.com.br/rooms/17155478,,1.0,Private room
True,10,2,10,False,"[1, 2, 4, 5, 7, 8, 9, 14, 15, 21, 28, 32, 33, 34, 35, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50]",9,4,70.50852672433409,R$220,10,103373116,389.5,Real Bed,10,10,100,15930085,https://www.airbnb.com.br/rooms/15930085,10,1.0,Entire home/apt
True,10,3,10,True,"[1, 2, 3, 4, 8, 14, 21, 28, 31, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46]",22,3,64.09866065848554,R$200,9,10008699,106.5,Real Bed,10,10,100,15617032,https://www.airbnb.com.br/rooms/15617032,10,1.0,Entire home/apt
False,10,2,10,False,"[3, 4, 8, 21, 31, 40, 45, 46, 47, 49, 50]",2,3,17.627131681083522,R$55,10,42072325,6253.0,Real Bed,10,10,100,7972722,https://www.airbnb.com.br/rooms/7972722,10,0.9169999957084656,Private room
True,,1,,False,"[4, 8, 9, 21, 33, 34, 39, 40, 42, 45, 46, 47, 49, 50, 57]",0,3,25.639464263394217,R$80,,40315504,9175.0,Real Bed,,,,16519005,https://www.airbnb.com.br/rooms/16519005,,1.0,Private room
True,,3,,False,"[1, 4, 5, 7, 8, 9, 15, 21, 35, 39, 44, 47, 49, 50]",0,4,48.07399549386415,R$150,,120906973,655.0,Real Bed,,,,17802426,https://www.airbnb.com.br/rooms/17802426,,1.0,Entire home/apt
False,10,1,10,True,"[3, 4, 8, 40, 42, 47, 49, 50]",21,5,31.408343722657914,R$98,10,47666026,2368.5,Real Bed,10,10,97,9156486,https://www.airbnb.com.br/rooms/9156486,10,1.0,Entire home/apt
True,,1,,False,"[4, 5, 8, 28, 33, 40, 42, 44, 46, 47, 49, 50, 56]",0,3,40.06166291155346,R$125,,81665080,0.0,Real Bed,,,,17281875,https://www.airbnb.com.br/rooms/17281875,,1.0,Private room
False,,2,,False,"[2, 3, 4, 8, 14, 21, 28, 33, 37, 39, 40, 42, 44, 46, 49]",0,3,31.408343722657914,R$98,,117516922,2707.0,Real Bed,,,,17397473,https://www.airbnb.com.br/rooms/17397473,,1.0,Private room
True,9,2,9,False,"[1, 2, 3, 4, 5, 7, 9, 14, 15, 21, 28, 31, 40, 41, 43, 44, 45, 47]",11,5,63.77816735519311,R$199,9,105120476,1233.0,Real Bed,9,10,93,16119794,https://www.airbnb.com.br/rooms/16119794,10,1.0,Entire home/apt
